Index_initial,Name_initial,Name_trimmed,Note
1,Bacteroides_dorei_vulgatus,Bacteroides dorei,
1.1,,Bacteroides vulgatus,
2,Bacteroides_uniformis,Bacteroides uniformis,
3,Faecalibacterium_prausnitzii,Faecalibacterium prausnitzii,
4,Parabacteroides_distasonis,Parabacteroides distasonis,
5,Eubacterium_rectale,[Eubacterium] rectale,
6,Alistipes_putredinis,Alistipes putredinis,
7,Odoribacter_splanchnicus,Odoribacter splanchnicus,
8,Ruminococcus_bromii,Ruminococcus bromii,
9,Parabacteroides_merdae,Parabacteroides merdae,
10,Bacteroides_thetaiotaomicron,Bacteroides thetaiotaomicron,
11,Bacteroides_xylanisolvens,Bacteroides xylanisolvens,
12,Ruminococcus_sp__5_1_39BFAA,Ruminococcus sp. 5_1_39BFAA,
13,Bacteroides_ovatus,Bacteroides ovatus,
14,Roseburia_inulinivorans,Roseburia inulinivorans,
15,X_Ruminococcus__torques,[Ruminococcus] torques,
16,Escherichia_coli,Escherichia coli,
17,Eubacterium_eligens,[Eubacterium] eligens,
18,Bilophila_wadsworthia,Bilophila wadsworthia,
19,Collinsella_aerofaciens,Collinsella aerofaciens,
20,Bacteroides_caccae,Bacteroides caccae,
21,Alistipes_shahii,Alistipes shahii,
22,Alistipes_sp__HGB5,Alistipes sp. HGB5,
23,Coprococcus_comes,Coprococcus comes,
24,Dorea_longicatena,Dorea longicatena,
25,Roseburia_intestinalis,Roseburia intestinalis,
26,butyrate_producing_bacterium_SS3_4,butyrate-producing bacterium SS3/4,
27,Ruminococcus_sp__SR1_5,Ruminococcus sp. SR1/5,
28,butyrate_producing_bacterium,butyrate-producing bacterium,
29,Eubacterium_hallii,Anaerobutyricum hallii,?
30,Dorea_formicigenerans,Dorea formicigenerans,
31,Roseburia_hominis,Roseburia hominis,
32,X_Ruminococcus__obeum,Blautia obeum,?
33,Coprococcus_catus,Coprococcus catus,
34,Prevotella_copri,Prevotella copri,
35,Clostridium_bolteae,[Clostridium] bolteae,
36,Bacteroides_fragilis,Bacteroides fragilis,
37,Bifidobacterium_longum,Bifidobacterium longum,
38,Bifidobacterium_adolescentis,Bifidobacterium adolescentis,
39,Streptococcus_thermophilus,Streptococcus thermophilus,
40,Akkermansia_muciniphila,Akkermansia muciniphila,
41,Pseudoflavonifractor_capillosus,Pseudoflavonifractor capillosus,
42,Holdemania_filiformis,Holdemania filiformis,
43,Ruminococcaceae_bacterium_D16,Ruminococcaceae bacterium D16,
44,Streptococcus_salivarius,Streptococcus salivarius,
45,Clostridium_leptum,[Clostridium] leptum,
46,Eubacterium_siraeum,[Eubacterium] siraeum,
47,Eubacterium_ventriosum,Eubacterium ventriosum,
48,Parasutterella_excrementihominis,Parasutterella excrementihominis,
49,Eggerthella_lenta,Eggerthella lenta,
50,Streptococcus_parasanguinis,Streptococcus parasanguinis,
51,Ruminococcus_lactaris,Ruminococcus lactaris,
52,Haemophilus_parainfluenzae,Haemophilus parainfluenzae,
53,Bifidobacterium_catenulatum_Bifidobacterium_pseudocatenulatum_complex,Bifidobacterium catenulatum,
53.1,,Bifidobacterium pseudocatenulatum,
54,X_Clostridium__bartlettii,Intestinibacter bartlettii,?
55,Veillonella_parvula,Veillonella parvula,
56,Acidaminococcus_fermentans,Acidaminococcus fermentans,
57,Acidaminococcus_intestini,Acidaminococcus intestini,
58,Anaerostipes_caccae,Anaerostipes caccae,
59,Atopobium_rimae,Atopobium rimae,
60,Bacteroides_plebeius,Bacteroides plebeius,
61,Blautia_hansenii,Blautia hansenii,
62,Brevibacterium_linens,Brevibacterium linens,
63,Butyrivibrio_crossotus,Butyrivibrio crossotus,
64,Citrobacter_sp__30_2,Citrobacter portucalensis,? Strain
65,Citrobacter_youngae,Citrobacter youngae,
66,Clostridiales_bacterium_1_7_47FAA,Clostridiales bacterium 1_7_47FAA,
67,Clostridium_ramosum,Erysipelatoclostridium ramosum,?
68,Clostridium_scindens,[Clostridium] scindens,
69,Clostridium_sp__HGF2,Clostridium sp. HGF2,
70,Clostridium_sp__L2_50,Clostridium sp. L2-50,
71,Clostridium_spiroforme,[Clostridium] spiroforme,
72,Clostridium_symbiosum,[Clostridium] symbiosum,
73,Coprobacillus_sp__29_1,Coprobacillus cateniformis,? strain
74,Coprococcus_eutactus,Coprococcus eutactus,
75,Edwardsiella_ictaluri_tarda,Edwardsiella ictaluri,
75.1,,Edwardsiella tarda,
76,Enterococcus_faecalis,Enterococcus faecalis,
77,Escherichia_albertii,Escherichia albertii,
78,Eubacterium_dolichum,Absiella dolichum,?
79,Eubacterium_limosum,Eubacterium limosum,
80,Fusobacterium_mortiferum,Fusobacterium mortiferum,
81,Fusobacterium_periodonticum,Fusobacterium periodonticum,
82,Granulicatella_elegans,Granulicatella elegans,
83,Haemophilus_haemolyticus,Haemophilus haemolyticus,
84,Klebsiella_oxytoca,Klebsiella oxytoca,
85,Klebsiella_variicola_pneumoniae,Klebsiella variicola,
85.1,,Klebsiella pneumoniae,
86,Lachnospiraceae_bacterium_1_4_56FAA,Lachnospiraceae bacterium 1_4_56FAA,
87,Lachnospiraceae_bacterium_3_1_57FAA_CT1,Lachnospiraceae bacterium 3_1_57FAA_CT1,
88,Lactobacillus_fermentum,Lactobacillus fermentum,
89,Lactobacillus_gasseri,Lactobacillus gasseri,
90,Lactobacillus_johnsonii,Lactobacillus johnsonii,
91,Lactobacillus_sakei,Lactobacillus sakei,
92,Lactobacillus_salivarius,Lactobacillus salivarius,
93,Lactobacillus_ultunensis,Lactobacillus ultunensis,
94,Lactobacillus_vaginalis,Lactobacillus vaginalis,
95,Megasphaera_elsdenii,Megasphaera elsdenii,
96,Methanobrevibacter_smithii,Methanobrevibacter smithii,
97,Methanosphaera_stadtmanae,Methanosphaera stadtmanae,
98,Mitsuokella_multacida,Mitsuokella multacida,
99,Oribacterium_sinus,Oribacterium sinus,
100,Prevotella_buccalis,Prevotella buccalis,
101,Pyramidobacter_piscolens,Pyramidobacter piscolens,
102,Ruminococcus_champanellensis,Ruminococcus champanellensis,
103,Streptococcus_anginosus,Streptococcus anginosus,
104,Streptococcus_constellatus,Streptococcus constellatus,
105,Streptococcus_equinus,Streptococcus equinus,
106,Streptococcus_gallolyticus,Streptococcus gallolyticus,
107,Streptococcus_gordonii,Streptococcus gordonii,
108,Streptococcus_mutans,Streptococcus mutans,
109,Streptococcus_sp__C150,Streptococcus sp. C150,
110,Streptococcus_sp__M143,Streptococcus sp. M143,
111,Streptococcus_sp__oral_taxon_071,Streptococcus sp. oral taxon 071 str. 73H25AP,
112,Streptococcus_vestibularis,Streptococcus vestibularis,
113,Turicibacter_sanguinis,Turicibacter sanguinis,
114,Veillonella_sp__oral_taxon_158,Veillonella sp. oral taxon 158 str. F0412,
115,X_Bacteroides__pectinophilus,[Bacteroides] pectinophilus,
116,X_Ruminococcus__gnavus,[Ruminococcus] gnavus,
117,unclassified_Lachnospiraceae,unclassified Lachnospiraceae,